Athlete,Year,Time,Meet,Meet Date,Wind
Antonio Laidler,3,10.19,NCAA East Preliminary Round,1684972800.0,1.9
Antonio Laidler,3,10.20,Jim Freeman Louisville Invitational,1681430400.0,1.6
Christopher Grant,3,10.28,Jim Freeman Louisville Invitational,1681430400.0,1.6
Antonio Laidler,3,10.30,Big Ten Outdoor Championships,1683849600.0,+0.0
Christopher Grant,3,10.33,2023 Billy Hayes Invitational,1683244800.0,0.5
Christopher Grant,3,10.38,Pepsi Florida Relays,1680220800.0,1.1
Antonio Laidler,3,10.38,Big Ten Outdoor Championships,1683849600.0,-0.4
Christopher Grant,3,10.41,2023 Billy Hayes Invitational,1683244800.0,1.9
Antonio Laidler,3,10.41,Pepsi Florida Relays,1680220800.0,1.5
Christopher Grant,3,10.48,Big Ten Outdoor Championships,1683849600.0,0.1
Antonio Laidler,3,10.52,Penn Relays,1682553600.0,-1.3
Trelee Banks,2,10.59,2023 Billy Hayes Invitational,1683244800.0,2.0
Trelee Banks,2,10.64,2023 Indiana Invitational,1682035200.0,1.0
Trelee Banks,2,10.67,2023 Indiana Invitational,1682035200.0,1.2
Trelee Banks,2,10.68,Big Ten Outdoor Championships,1683849600.0,0.7
Trelee Banks,2,10.71,2023 Billy Hayes Invitational,1683244800.0,0.5
Trelee Banks,2,10.73,Jim Freeman Louisville Invitational,1681430400.0,1.6
Antonio Laidler,3,10.74,Penn Relays,1682553600.0,-1.2
Trelee Banks,2,10.88,Pepsi Florida Relays,1680220800.0,0.1
Ray Brodie,1,11.00,Raleigh Relays,1679529600.0,-1.3
Gage Pratt,1,11.01,2023 Billy Hayes Invitational,1683244800.0,1.9
Trelee Banks,2,11.03,Raleigh Relays,1679529600.0,1.9
